SLURM NODE: kn073
[I 2026-02-23 04:49:11,777] A new study created in RDB with name: SST-2-Sliding_windows
[I 2026-02-23 07:07:13,016] Trial 0 finished with value: 0.9036697247706422 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 0 with value: 0.9036697247706422.
[I 2026-02-24 08:33:18,268] Trial 11 finished with value: 0.9025229357798165 and parameters: {'batch_size': 16, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 10:52:41,169] Trial 12 finished with value: 0.9036697247706422 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 12:51:35,361] Trial 13 finished with value: 0.9059633027522935 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 14:44:11,070] Trial 14 finished with value: 0.9094036697247706 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 16:43:54,350] Trial 15 finished with value: 0.9139908256880734 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 18:33:22,163] Trial 16 finished with value: 0.9128440366972477 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 20:31:16,101] Trial 17 finished with value: 0.911697247706422 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-24 23:25:14,331] Trial 18 finished with value: 0.9002293577981652 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 01:23:53,972] Trial 19 finished with value: 0.911697247706422 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 03:17:10,472] Trial 20 finished with value: 0.9105504587155964 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 05:19:11,400] Trial 21 finished with value: 0.9094036697247706 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 07:26:41,682] Trial 22 finished with value: 0.9105504587155964 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 09:26:48,715] Trial 23 finished with value: 0.9071100917431193 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 11:47:21,031] Trial 24 finished with value: 0.9059633027522935 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 13:49:46,543] Trial 25 finished with value: 0.9094036697247706 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 16:48:50,270] Trial 26 finished with value: 0.8990825688073395 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 18:46:28,775] Trial 27 finished with value: 0.911697247706422 and parameters: {'batch_size': 64, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 21:02:25,521] Trial 28 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-25 23:23:06,120] Trial 29 finished with value: 0.9002293577981652 and parameters: {'batch_size': 32, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-26 01:21:56,124] Trial 30 finished with value: 0.908256880733945 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001}. Best is trial 5 with value: 0.9139908256880734.
[I 2026-02-26 04:21:02,777] Trial 31 finished with value: 0.8944954128440367 and parameters: {'batch_size': 16, 'window_size': 3, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-05}. Best is trial 5 with value: 0.9139908256880734.
slurmstepd: error: *** JOB 2255619 ON kn073 CANCELLED AT 2026-02-26T04:48:45 DUE TO TIME LIMIT ***
