SLURM NODE: kn048
[I 2026-03-01 06:07:36,876] A new study created in RDB with name: SST-2-Chefer_importance
[I 2026-03-01 07:53:38,365] Trial 0 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-03-02 05:07:32,203] Trial 11 finished with value: 0.5481651376146789 and parameters: {'batch_size': 64, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 6 with value: 0.9151376146788991.
[I 2026-03-02 06:31:53,199] Trial 12 finished with value: 0.9174311926605505 and parameters: {'batch_size': 128, 'edge_threshold': 0.8, 'node_threshold': 0.5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 09:04:28,106] Trial 13 finished with value: 0.5573394495412844 and parameters: {'batch_size': 32, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 10:28:24,828] Trial 14 finished with value: 0.9071100917431193 and parameters: {'batch_size': 128, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 12:56:53,346] Trial 15 finished with value: 0.8979357798165137 and parameters: {'batch_size': 16, 'edge_threshold': 0.95, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 14:22:44,077] Trial 16 finished with value: 0.5435779816513762 and parameters: {'batch_size': 128, 'edge_threshold': 0.8, 'node_threshold': 0.7, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 15:44:38,674] Trial 17 finished with value: 0.9139908256880734 and parameters: {'batch_size': 128, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 12 with value: 0.9174311926605505.
[I 2026-03-02 17:05:26,624] Trial 18 finished with value: 0.9185779816513762 and parameters: {'batch_size': 128, 'edge_threshold': 0.6, 'node_threshold': 0.95, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-02 18:56:34,775] Trial 19 finished with value: 0.908256880733945 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-02 21:26:15,674] Trial 20 finished with value: 0.9002293577981652 and parameters: {'batch_size': 16, 'edge_threshold': 0.95, 'node_threshold': 0.95, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-02 23:52:58,665] Trial 21 finished with value: 0.5619266055045872 and parameters: {'batch_size': 32, 'edge_threshold': 0.7, 'node_threshold': 0.95, 'attention_heads': 2, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 01:25:33,932] Trial 22 finished with value: 0.9105504587155964 and parameters: {'batch_size': 64, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 4, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 03:50:08,135] Trial 23 finished with value: 0.9036697247706422 and parameters: {'batch_size': 16, 'edge_threshold': 0.9, 'node_threshold': 0.95, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 05:38:57,059] Trial 24 finished with value: 0.9094036697247706 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 07:26:58,484] Trial 25 finished with value: 0.9174311926605505 and parameters: {'batch_size': 32, 'edge_threshold': 0.7, 'node_threshold': 0.9, 'attention_heads': 1, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 09:16:25,424] Trial 26 finished with value: 0.9094036697247706 and parameters: {'batch_size': 32, 'edge_threshold': 0.95, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 11:12:22,413] Trial 27 finished with value: 0.9048165137614679 and parameters: {'batch_size': 32, 'edge_threshold': 0.9, 'node_threshold': 0.7, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 13:33:51,434] Trial 28 finished with value: 0.9071100917431193 and parameters: {'batch_size': 16, 'edge_threshold': 0.95, 'node_threshold': 0.7, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 14:54:31,234] Trial 29 finished with value: 0.911697247706422 and parameters: {'batch_size': 128, 'edge_threshold': 0.6, 'node_threshold': 0.9, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 16:56:57,877] Trial 30 finished with value: 0.911697247706422 and parameters: {'batch_size': 32, 'edge_threshold': 0.7, 'node_threshold': 0.5, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 19:21:23,963] Trial 31 finished with value: 0.908256880733945 and parameters: {'batch_size': 16, 'edge_threshold': 0.5, 'node_threshold': 0.6, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 21:40:35,779] Trial 32 finished with value: 0.5756880733944955 and parameters: {'batch_size': 16, 'edge_threshold': 0.7, 'node_threshold': 0.8, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-03 23:05:04,918] Trial 33 finished with value: 0.536697247706422 and parameters: {'batch_size': 128, 'edge_threshold': 0.8, 'node_threshold': 0.9, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-04 01:07:49,791] Trial 34 finished with value: 0.5619266055045872 and parameters: {'batch_size': 32, 'edge_threshold': 0.8, 'node_threshold': 0.6, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-04 02:38:02,616] Trial 35 finished with value: 0.5481651376146789 and parameters: {'batch_size': 64, 'edge_threshold': 0.6, 'node_threshold': 0.5, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.001}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-04 04:07:54,359] Trial 36 finished with value: 0.9094036697247706 and parameters: {'batch_size': 64, 'edge_threshold': 0.6, 'node_threshold': 0.6, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-05}. Best is trial 18 with value: 0.9185779816513762.
[I 2026-03-04 05:56:06,312] Trial 37 finished with value: 0.9105504587155964 and parameters: {'batch_size': 32, 'edge_threshold': 0.6, 'node_threshold': 0.7, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 18 with value: 0.9185779816513762.
slurmstepd: error: *** JOB 2303106 ON kn048 CANCELLED AT 2026-03-04T06:07:18 DUE TO TIME LIMIT ***
