dataset,split,index,window_size,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,train,321,3,792,369,1140,449,768,2323,1
IMDb-1k,train,90,3,759,392,1048,435,768,2119,1
IMDb-1k,train,180,3,801,445,1071,532,768,2472,1
IMDb-1k,train,414,3,745,315,951,344,768,1854,1
IMDb-1k,train,312,3,773,392,1008,448,768,2220,1
IMDb-1k,train,278,3,946,428,1258,481,768,2439,1
IMDb-1k,train,381,3,808,447,1122,519,768,2451,1
IMDb-1k,train,472,3,786,363,1123,401,768,2151,1
IMDb-1k,train,362,3,812,373,1047,409,768,2153,1
IMDb-1k,train,324,3,980,459,1305,503,768,2663,1
IMDb-1k,train,431,3,770,385,989,440,768,2190,1
IMDb-1k,train,347,3,781,364,1021,421,768,2125,1
IMDb-1k,train,86,3,803,363,1062,399,768,2117,1
IMDb-1k,train,75,3,932,421,1177,472,768,2416,1
IMDb-1k,train,438,3,954,444,1257,493,768,2585,1
IMDb-1k,train,15,3,942,431,1184,482,768,2488,1
IMDb-1k,train,249,3,1435,622,1910,702,768,3836,1
IMDb-1k,train,433,3,804,369,996,410,768,2130,1
IMDb-1k,train,19,3,872,392,1063,432,768,2190,1
IMDb-1k,train,322,3,990,413,1209,459,768,2401,1
IMDb-1k,train,332,3,819,419,1130,506,768,2428,1
IMDb-1k,train,56,3,850,420,1116,480,768,2376,1
IMDb-1k,train,301,3,1447,531,1799,603,768,3477,1
IMDb-1k,train,229,3,969,421,1267,470,768,2524,1
IMDb-1k,train,331,3,794,364,1076,407,768,2137,1
IMDb-1k,train,132,3,869,421,1109,455,768,2321,1
IMDb-1k,train,137,3,970,447,1172,499,768,2559,1
IMDb-1k,train,423,3,1049,468,1284,538,768,2646,1
IMDb-1k,train,335,3,762,369,946,398,768,2032,1
IMDb-1k,train,25,3,970,461,1314,542,768,2744,1
IMDb-1k,train,464,3,787,383,1048,437,768,2171,1
IMDb-1k,train,281,3,916,389,1215,430,768,2396,1
IMDb-1k,train,247,3,887,400,1165,446,768,2370,1
IMDb-1k,train,237,3,793,353,1121,418,768,2194,1
IMDb-1k,train,117,3,946,393,1212,440,768,2320,1
IMDb-1k,train,42,3,949,459,1291,530,768,2650,1
IMDb-1k,train,220,3,1369,538,1644,583,768,3283,1
IMDb-1k,train,176,3,881,400,1134,443,768,2301,1
IMDb-1k,train,320,3,876,409,1095,466,768,2316,1
IMDb-1k,train,153,3,753,354,986,394,768,1972,1
IMDb-1k,train,231,3,863,408,1187,474,768,2432,1
IMDb-1k,train,227,3,838,433,1075,503,768,2433,1
IMDb-1k,train,417,3,961,460,1305,517,768,2635,1
IMDb-1k,train,203,3,765,431,1013,496,768,2304,1
IMDb-1k,train,126,3,958,464,1180,519,768,2613,1
IMDb-1k,train,329,3,827,428,1088,488,768,2362,1
IMDb-1k,train,31,3,799,420,1076,470,768,2268,1
IMDb-1k,train,113,3,770,399,1015,472,768,2242,1
IMDb-1k,train,470,3,799,398,1054,464,768,2284,1
IMDb-1k,train,271,3,877,379,1068,440,768,2206,1
IMDb-1k,train,140,3,779,421,1015,485,768,2307,1
IMDb-1k,train,57,3,844,392,1186,442,768,2366,1
IMDb-1k,train,192,3,904,400,1125,436,768,2274,1
IMDb-1k,train,24,3,866,425,1133,470,768,2366,1
IMDb-1k,train,17,3,765,391,996,441,768,2179,1
IMDb-1k,train,265,3,923,435,1140,482,768,2408,1
IMDb-1k,train,66,3,960,527,1421,643,768,3089,1
IMDb-1k,train,208,3,844,405,1078,460,768,2274,1
IMDb-1k,train,479,3,791,404,1004,469,768,2241,1
IMDb-1k,train,94,3,962,459,1326,543,768,2615,1
IMDb-1k,train,253,3,937,452,1239,495,768,2567,1
IMDb-1k,train,266,3,851,357,1071,399,768,2095,1
IMDb-1k,train,23,3,892,427,1140,485,768,2431,1
IMDb-1k,train,222,3,789,352,1026,393,768,2057,1
IMDb-1k,train,261,3,933,392,1152,433,768,2371,1
IMDb-1k,train,426,3,904,404,1255,443,768,2393,1
IMDb-1k,validation,135,3,897,444,1260,530,768,2666,1
IMDb-1k,validation,115,3,755,349,963,399,768,2013,1
IMDb-1k,validation,131,3,800,407,1022,470,768,2266,1
IMDb-1k,validation,55,3,956,487,1256,558,768,2724,1
IMDb-1k,validation,95,3,736,388,986,421,768,2067,1
IMDb-1k,validation,29,3,799,386,1071,431,768,2221,1
IMDb-1k,validation,158,3,832,442,1063,496,768,2368,1
IMDb-1k,validation,51,3,864,450,1161,521,768,2513,1
IMDb-1k,validation,101,3,828,357,1125,391,768,2113,1
IMDb-1k,validation,145,3,897,392,1153,442,768,2412,1
IMDb-1k,validation,19,3,939,420,1237,478,768,2488,1
IMDb-1k,validation,85,3,933,451,1179,509,768,2561,1
IMDb-1k,validation,15,3,763,391,1113,459,768,2257,1
IMDb-1k,validation,66,3,844,392,1106,439,768,2279,1
IMDb-1k,validation,24,3,936,464,1168,540,768,2598,1
IMDb-1k,validation,30,3,881,471,1224,545,768,2567,1
IMDb-1k,validation,132,3,876,423,1072,469,768,2311,1
IMDb-1k,validation,105,3,745,408,969,465,768,2153,1
IMDb-1k,validation,153,3,775,383,980,458,768,2154,1
IMDb-1k,validation,16,3,835,380,1084,424,768,2264,1
IMDb-1k,validation,75,3,968,506,1378,584,768,2756,1
IMDb-1k,validation,18,3,900,448,1179,507,768,2451,1
IMDb-1k,validation,12,3,941,414,1259,464,768,2464,1
IMDb-1k,validation,9,3,915,365,1138,385,768,2187,1
IMDb-1k,validation,31,3,826,406,1066,457,768,2301,1
IMDb-1k,validation,156,3,775,400,1020,458,768,2214,1
IMDb-1k,validation,98,3,854,432,1234,516,768,2562,1
IMDb-1k,validation,56,3,923,445,1197,496,768,2504,1
IMDb-1k,validation,134,3,806,378,1052,437,768,2179,1
IMDb-1k,validation,161,3,772,407,1028,488,768,2292,1
IMDb-1k,validation,139,3,757,350,968,389,768,1987,1
IMDb-1k,validation,78,3,938,406,1274,454,768,2492,1
IMDb-1k,validation,60,3,786,361,1035,419,768,2089,1
IMDb-1k,validation,84,3,961,494,1307,566,768,2726,1
IMDb-1k,validation,2,3,802,432,1187,507,768,2475,1
IMDb-1k,validation,94,3,756,389,1011,461,768,2209,1
IMDb-1k,validation,45,3,757,370,910,415,768,2053,1
IMDb-1k,validation,42,3,952,418,1218,458,768,2488,1
IMDb-1k,validation,69,3,937,470,1282,539,768,2627,1
IMDb-1k,validation,154,3,835,417,1137,475,768,2409,1
IMDb-1k,validation,26,3,777,334,1132,415,768,2157,1
IMDb-1k,validation,141,3,785,404,1042,476,768,2294,1
IMDb-1k,validation,117,3,779,435,1046,509,768,2349,1
IMDb-1k,validation,93,3,946,414,1240,469,768,2443,1
IMDb-1k,validation,133,3,948,442,1208,493,768,2531,1
IMDb-1k,validation,36,3,752,394,987,439,768,2159,1
IMDb-1k,validation,82,3,797,401,1102,458,768,2250,1
IMDb-1k,validation,22,3,775,374,1039,430,768,2126,1
IMDb-1k,validation,126,3,990,473,1276,530,768,2704,1
IMDb-1k,validation,67,3,983,422,1259,487,768,2569,1
IMDb-1k,validation,97,3,835,405,1059,442,768,2194,1
IMDb-1k,validation,11,3,760,423,1043,480,768,2278,1
IMDb-1k,validation,65,3,969,471,1256,539,768,2621,1
IMDb-1k,validation,86,3,753,378,1005,419,768,2119,1
IMDb-1k,validation,6,3,861,483,1100,555,768,2519,1
IMDb-1k,validation,27,3,838,358,1137,413,768,2261,1
IMDb-1k,validation,76,3,955,441,1241,505,768,2593,1
IMDb-1k,validation,142,3,798,412,1082,467,768,2301,1
IMDb-1k,validation,38,3,859,444,1138,506,768,2458,1
IMDb-1k,validation,41,3,882,364,1112,403,768,2209,1
IMDb-1k,validation,4,3,762,381,1022,460,768,2192,1
IMDb-1k,validation,138,3,751,433,1022,518,768,2330,1
IMDb-1k,validation,32,3,806,388,1099,443,768,2275,1
IMDb-1k,validation,144,3,890,407,1213,465,768,2427,1
IMDb-1k,validation,109,3,757,408,994,456,768,2222,1
IMDb-1k,validation,68,3,746,367,956,422,768,2034,1
IMDb-1k,validation,10,3,870,402,1145,457,768,2363,1
IMDb-1k,validation,96,3,899,455,1247,561,768,2703,1
IMDb-1k,validation,111,3,860,459,1176,544,768,2594,1
IMDb-1k,validation,0,3,941,477,1301,538,768,2734,1
IMDb-1k,validation,122,3,938,448,1270,500,768,2552,1
IMDb-1k,validation,123,3,789,393,970,440,768,2166,1
IMDb-1k,validation,64,3,801,335,1025,376,768,2034,1
IMDb-1k,validation,44,3,946,445,1244,489,768,2605,1
IMDb-1k,validation,146,3,772,346,939,385,768,1963,1
IMDb-1k,validation,28,3,815,406,1058,460,768,2260,1
IMDb-1k,validation,40,3,915,488,1234,568,768,2704,1
IMDb-1k,validation,114,3,799,411,1028,459,768,2239,1
IMDb-1k,validation,25,3,879,365,1126,405,768,2179,1
IMDb-1k,validation,23,3,888,403,1099,452,768,2336,1
IMDb-1k,validation,119,3,847,396,1099,440,768,2284,1
IMDb-1k,validation,81,3,923,416,1186,476,768,2518,1
IMDb-1k,validation,79,3,865,407,1159,456,768,2376,1
IMDb-1k,validation,39,3,951,435,1164,477,768,2489,1
IMDb-1k,validation,90,3,770,381,1036,429,768,2195,1
IMDb-1k,validation,108,3,754,375,970,411,768,2047,1
IMDb-1k,validation,160,3,752,324,1002,364,768,1948,1
IMDb-1k,validation,137,3,820,424,1044,497,768,2337,1
IMDb-1k,validation,47,3,840,336,1103,371,768,2109,1
IMDb-1k,validation,124,3,784,403,997,443,768,2175,1
IMDb-1k,validation,61,3,845,439,1207,517,768,2515,1
IMDb-1k,validation,73,3,809,418,1016,460,768,2232,1
IMDb-1k,validation,33,3,761,415,1008,486,768,2290,1
IMDb-1k,validation,112,3,913,401,1140,444,768,2298,1
IMDb-1k,validation,120,3,913,363,1175,403,768,2303,1
IMDb-1k,validation,128,3,752,371,969,419,768,2039,1
IMDb-1k,validation,62,3,777,423,1036,468,768,2258,1
IMDb-1k,validation,163,3,856,411,1122,455,768,2375,1
IMDb-1k,validation,100,3,824,316,1060,349,768,1987,1
IMDb-1k,validation,104,3,905,423,1349,492,768,2592,1
IMDb-1k,validation,53,3,896,450,1309,529,768,2639,1
IMDb-1k,validation,5,3,1033,408,1392,461,768,2647,1
IMDb-1k,validation,118,3,842,438,1070,490,768,2384,1
IMDb-1k,validation,127,3,866,364,1253,432,768,2294,1
IMDb-1k,validation,152,3,765,419,998,476,768,2200,1
IMDb-1k,validation,49,3,836,378,1095,432,768,2272,1
IMDb-1k,validation,35,3,933,500,1280,588,768,2804,1
IMDb-1k,validation,80,3,835,437,1099,513,768,2363,1
IMDb-1k,validation,77,3,923,498,1235,556,768,2690,1
IMDb-1k,validation,34,3,782,384,984,420,768,2078,1
IMDb-1k,validation,46,3,955,452,1250,517,768,2611,1
IMDb-1k,validation,7,3,825,448,1154,507,768,2461,1
IMDb-1k,validation,43,3,862,412,1105,461,768,2285,1
IMDb-1k,validation,70,3,878,368,1195,413,768,2275,1
IMDb-1k,validation,125,3,868,401,1176,449,768,2203,1
IMDb-1k,validation,110,3,958,384,1192,417,768,2279,1
IMDb-1k,validation,91,3,946,417,1255,475,768,2499,1
IMDb-1k,validation,83,3,967,549,1254,632,768,2876,1
IMDb-1k,validation,147,3,749,353,1023,406,768,2026,1
IMDb-1k,validation,148,3,963,519,1295,586,768,2778,1
IMDb-1k,validation,89,3,941,459,1254,522,768,2614,1
IMDb-1k,validation,8,3,905,373,1229,428,768,2232,1
IMDb-1k,validation,157,3,924,459,1219,515,768,2549,1
IMDb-1k,validation,113,3,946,514,1253,596,768,2792,1
IMDb-1k,validation,13,3,904,410,1198,471,768,2495,1
IMDb-1k,validation,59,3,962,454,1257,505,768,2581,1
IMDb-1k,validation,140,3,735,384,1014,442,768,2194,1
IMDb-1k,validation,3,3,957,445,1200,494,768,2516,1
IMDb-1k,validation,17,3,861,381,1088,411,768,2207,1
IMDb-1k,validation,72,3,976,486,1334,575,768,2805,1
IMDb-1k,validation,143,3,774,323,990,364,768,1988,1
IMDb-1k,validation,136,3,940,475,1284,545,768,2685,1
IMDb-1k,validation,150,3,768,384,967,430,768,2088,1
IMDb-1k,validation,63,3,949,447,1334,509,768,2661,1
IMDb-1k,validation,54,3,968,369,1240,404,768,2220,1
IMDb-1k,validation,107,3,798,414,1080,470,768,2262,1
IMDb-1k,validation,50,3,733,327,990,360,768,1962,1
IMDb-1k,validation,162,3,1023,290,1382,328,768,1880,1
IMDb-1k,validation,58,3,746,406,998,475,768,2203,1
IMDb-1k,validation,48,3,934,515,1223,609,768,2791,1
IMDb-1k,validation,88,3,918,411,1156,454,768,2428,1
IMDb-1k,validation,21,3,760,356,942,401,768,2039,1
IMDb-1k,validation,57,3,894,433,1160,499,768,2509,1
IMDb-1k,validation,159,3,884,404,1129,445,768,2323,1
IMDb-1k,validation,129,3,746,371,923,412,768,2014,1
IMDb-1k,validation,37,3,778,363,1037,403,768,2133,1
IMDb-1k,validation,155,3,747,418,1016,479,768,2227,1
IMDb-1k,validation,1,3,922,456,1260,526,768,2616,1
IMDb-1k,validation,52,3,948,446,1256,526,768,2650,1
IMDb-1k,validation,149,3,759,394,1023,463,768,2153,1
IMDb-1k,test,25,3,806,460,1055,530,768,2438,1
IMDb-1k,test,109,3,865,429,1039,471,768,2357,1
IMDb-1k,test,76,3,961,447,1307,501,768,2673,1
IMDb-1k,test,196,3,879,485,1200,565,768,2687,1
IMDb-1k,test,57,3,876,384,1123,437,768,2287,1
IMDb-1k,test,255,3,896,421,1152,477,768,2395,1
IMDb-1k,test,182,3,885,352,1090,382,768,2084,1
IMDb-1k,test,181,3,771,371,1012,422,768,2174,1
IMDb-1k,test,274,3,949,466,1324,545,768,2675,1
IMDb-1k,test,198,3,908,405,1223,451,768,2373,1
IMDb-1k,test,72,3,962,445,1224,501,768,2555,1
IMDb-1k,test,9,3,911,434,1197,510,768,2572,1
IMDb-1k,test,271,3,752,418,1067,494,768,2350,1
IMDb-1k,test,316,3,786,395,1120,450,768,2318,1
IMDb-1k,test,172,3,793,420,1060,481,768,2335,1
IMDb-1k,test,202,3,813,420,1098,481,768,2325,1
IMDb-1k,test,75,3,872,389,1138,434,768,2236,1
IMDb-1k,test,318,3,764,361,1059,404,768,2116,1
IMDb-1k,test,77,3,969,504,1305,577,768,2821,1
IMDb-1k,test,324,3,973,500,1328,599,768,2845,1
IMDb-1k,test,111,3,812,412,1078,465,768,2261,1
IMDb-1k,test,238,3,762,417,1004,457,768,2235,1
IMDb-1k,test,143,3,846,391,1054,428,768,2168,1
IMDb-1k,test,325,3,726,366,976,431,768,2131,1
IMDb-1k,test,5,3,903,456,1248,552,768,2612,1
IMDb-1k,test,147,3,968,462,1290,526,768,2706,1
IMDb-1k,test,63,3,891,465,1284,545,768,2619,1
IMDb-1k,test,114,3,756,352,915,391,768,1947,1
IMDb-1k,test,139,3,822,358,1070,396,768,2134,1
IMDb-1k,test,101,3,796,347,1035,388,768,2144,1
IMDb-1k,test,94,3,852,415,1114,472,768,2372,1
IMDb-1k,test,282,3,931,412,1212,456,768,2428,1
IMDb-1k,test,3,3,813,411,1199,465,768,2351,1
IMDb-1k,test,225,3,872,435,1140,482,768,2460,1
IMDb-1k,test,219,3,930,463,1240,528,768,2602,1
IMDb-1k,test,310,3,968,448,1272,511,768,2677,1
IMDb-1k,test,183,3,856,416,1191,473,768,2423,1
IMDb-1k,test,302,3,837,371,1055,403,768,2133,1
IMDb-1k,test,140,3,881,413,1153,450,768,2364,1
IMDb-1k,test,228,3,1011,482,1312,525,768,2661,1
IMDb-1k,test,33,3,850,451,1102,493,768,2423,1
IMDb-1k,test,42,3,942,427,1266,479,768,2497,1
IMDb-1k,test,173,3,752,388,996,432,768,2158,1
IMDb-1k,test,124,3,948,458,1269,511,768,2665,1
IMDb-1k,test,330,3,902,468,1182,515,768,2555,1
IMDb-1k,test,46,3,869,387,1120,437,768,2271,1
IMDb-1k,test,73,3,967,450,1241,495,768,2579,1
IMDb-1k,test,179,3,965,443,1186,484,768,2492,1
IMDb-1k,test,45,3,1054,498,1398,568,768,2878,1
IMDb-1k,test,185,3,969,447,1219,494,768,2538,1
IMDb-1k,test,314,3,874,428,1188,495,768,2441,1
IMDb-1k,test,165,3,817,351,1041,387,768,2089,1
IMDb-1k,test,90,3,885,394,1172,427,768,2303,1
IMDb-1k,test,157,3,807,387,1018,423,768,2135,1
IMDb-1k,test,260,3,907,425,1302,484,768,2558,1
IMDb-1k,test,16,3,961,527,1314,613,768,2889,1
IMDb-1k,test,82,3,787,366,997,401,768,2047,1
IMDb-1k,test,132,3,748,346,900,378,768,1936,1
IMDb-1k,test,7,3,882,406,1096,457,768,2357,1
IMDb-1k,test,55,3,786,434,1041,482,768,2300,1
IMDb-1k,test,110,3,934,423,1235,483,768,2537,1
IMDb-1k,test,84,3,966,436,1309,514,768,2712,1
IMDb-1k,test,298,3,741,371,992,421,768,2075,1
IMDb-1k,test,294,3,965,382,1202,413,768,2335,1
IMDb-1k,test,116,3,901,475,1254,575,768,2745,1
IMDb-1k,test,78,3,789,367,1137,459,768,2297,1
IMDb-1k,test,244,3,760,383,967,441,768,2119,1
IMDb-1k,test,60,3,775,421,1041,485,768,2287,1
IMDb-1k,test,226,3,894,483,1232,553,768,2677,1
IMDb-1k,test,180,3,845,431,1130,482,768,2418,1
IMDb-1k,test,280,3,852,403,1116,462,768,2314,1
IMDb-1k,test,17,3,869,425,1151,479,768,2415,1
IMDb-1k,test,24,3,933,431,1294,493,768,2605,1
IMDb-1k,test,167,3,1130,546,1436,612,768,3110,1
IMDb-1k,test,227,3,942,459,1209,515,768,2511,1
IMDb-1k,test,240,3,921,451,1245,527,768,2601,1
IMDb-1k,test,275,3,761,378,1019,432,768,2150,1
IMDb-1k,test,148,3,938,409,1215,459,768,2407,1
IMDb-1k,test,113,3,966,471,1303,531,768,2671,1
IMDb-1k,test,144,3,768,388,1022,433,768,2101,1
IMDb-1k,test,312,3,948,416,1134,449,768,2337,1
IMDb-1k,test,118,3,760,390,1016,448,768,2196,1
IMDb-1k,test,177,3,889,448,1207,551,768,2597,1
IMDb-1k,test,79,3,773,317,1087,354,768,1908,1
IMDb-1k,test,332,3,758,418,1009,478,768,2272,1
IMDb-1k,test,119,3,811,413,1155,500,768,2468,1
IMDb-1k,test,281,3,907,480,1304,549,768,2695,1
IMDb-1k,test,31,3,826,391,1118,448,768,2254,1
IMDb-1k,test,232,3,808,417,1194,505,768,2521,1
IMDb-1k,test,254,3,811,474,1148,555,768,2539,1
IMDb-1k,test,155,3,946,497,1234,580,768,2742,1
IMDb-1k,test,268,3,827,439,1047,494,768,2324,1
IMDb-1k,test,108,3,752,403,1025,449,768,2193,1
IMDb-1k,test,146,3,953,378,1191,433,768,2335,1
IMDb-1k,test,59,3,762,439,1121,555,768,2543,1
IMDb-1k,test,327,3,820,440,1164,509,768,2473,1
IMDb-1k,test,15,3,766,365,1091,411,768,2105,1
IMDb-1k,test,6,3,949,397,1228,452,768,2400,1
IMDb-1k,test,231,3,924,361,1185,397,768,2201,1
IMDb-1k,test,210,3,774,392,1073,457,768,2265,1
IMDb-1k,test,93,3,820,362,1049,394,768,2136,1
IMDb-1k,test,30,3,746,384,1011,437,768,2131,1
IMDb-1k,test,22,3,771,408,982,468,768,2218,1
IMDb-1k,test,285,3,831,374,1088,418,768,2188,1
IMDb-1k,test,295,3,820,473,1174,546,768,2614,1
IMDb-1k,test,56,3,878,447,1096,498,768,2412,1
IMDb-1k,test,176,3,951,464,1214,519,768,2637,1
IMDb-1k,test,10,3,831,397,1094,458,768,2288,1
IMDb-1k,test,220,3,880,434,1156,495,768,2429,1
IMDb-1k,test,229,3,876,449,1241,540,768,2630,1
IMDb-1k,test,81,3,780,399,997,436,768,2184,1
IMDb-1k,test,168,3,965,444,1261,524,768,2672,1
IMDb-1k,test,39,3,940,434,1201,496,768,2580,1
IMDb-1k,test,237,3,771,380,995,417,768,2123,1
IMDb-1k,test,104,3,979,485,1282,564,768,2844,1
IMDb-1k,test,262,3,820,421,1173,490,768,2324,1
IMDb-1k,test,194,3,782,424,1031,491,768,2285,1
IMDb-1k,test,315,3,941,410,1205,465,768,2445,1
IMDb-1k,test,126,3,742,434,1016,509,768,2283,1
IMDb-1k,test,137,3,876,374,1090,410,768,2156,1
IMDb-1k,test,66,3,761,374,960,420,768,2052,1
IMDb-1k,test,211,3,880,455,1134,491,768,2469,1
IMDb-1k,test,18,3,922,425,1149,468,768,2460,1
IMDb-1k,test,197,3,859,361,1122,406,768,2220,1
IMDb-1k,test,250,3,810,368,1089,417,768,2159,1
IMDb-1k,test,152,3,803,368,965,393,768,1937,1
IMDb-1k,test,19,3,886,437,1130,491,768,2419,1
IMDb-1k,test,199,3,958,447,1170,501,768,2481,1
IMDb-1k,test,92,3,987,495,1323,590,768,2856,1
IMDb-1k,test,69,3,820,419,1074,506,768,2392,1
IMDb-1k,test,209,3,755,345,1017,389,768,2023,1
IMDb-1k,test,96,3,942,472,1331,551,768,2637,1
IMDb-1k,test,97,3,919,370,1170,428,768,2244,1
IMDb-1k,test,245,3,849,434,1043,483,768,2303,1
IMDb-1k,test,68,3,820,369,1058,407,768,2095,1
IMDb-1k,test,23,3,810,353,998,393,768,2065,1
IMDb-1k,test,37,3,916,419,1183,454,768,2400,1
IMDb-1k,test,248,3,887,417,1083,464,768,2314,1
IMDb-1k,test,67,3,901,421,1164,470,768,2426,1
IMDb-1k,test,267,3,902,425,1090,472,768,2348,1
IMDb-1k,test,145,3,972,421,1356,477,768,2649,1
IMDb-1k,test,125,3,824,386,1051,448,768,2202,1
IMDb-1k,test,175,3,933,419,1189,468,768,2462,1
IMDb-1k,test,86,3,860,403,1084,450,768,2300,1
IMDb-1k,test,283,3,854,452,1137,522,768,2456,1
IMDb-1k,test,153,3,965,457,1315,556,768,2750,1
IMDb-1k,test,284,3,867,425,1089,484,768,2408,1
IMDb-1k,test,321,3,764,332,952,370,768,1876,1
IMDb-1k,test,253,3,961,480,1404,554,768,2798,1
IMDb-1k,test,163,3,789,405,987,429,768,2161,1
Ohsumed,train,655,3,306,155,480,185,768,843,1
Ohsumed,train,862,3,175,83,276,110,768,490,1
Ohsumed,train,365,3,176,106,220,131,768,525,1
Ohsumed,train,2423,3,174,90,264,118,768,502,1
Ohsumed,train,1514,3,270,138,392,185,768,789,1
Ohsumed,train,175,3,178,96,233,115,768,485,1
Ohsumed,train,620,3,227,128,352,174,768,722,1
Ohsumed,train,1410,3,70,56,102,76,768,270,1
Ohsumed,train,1411,3,219,135,305,173,768,719,1
