SLURM NODE: kn055
[I 2026-02-03 11:19:02,260] A new study created in RDB with name: SST-2-Fine-tuning
[I 2026-02-03 11:32:07,984] Trial 0 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 0 with value: 0.9105504587155964.
[I 2026-02-03 13:53:14,540] Trial 11 finished with value: 0.8990825688073395 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 9 with value: 0.9185779816513762.
[I 2026-02-03 14:05:33,981] Trial 12 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 9 with value: 0.9185779816513762.
[I 2026-02-03 14:24:32,046] Trial 13 finished with value: 0.9277522935779816 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 14:37:29,464] Trial 14 finished with value: 0.9208715596330275 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 14:50:28,068] Trial 15 finished with value: 0.9220183486238532 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 15:08:52,729] Trial 16 finished with value: 0.9025229357798165 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 15:21:29,698] Trial 17 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 15:33:46,921] Trial 18 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 15:46:58,761] Trial 19 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 15:59:17,954] Trial 20 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 16:14:23,837] Trial 21 finished with value: 0.9013761467889908 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 16:27:20,143] Trial 22 finished with value: 0.9185779816513762 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 16:40:34,690] Trial 23 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 16:53:28,215] Trial 24 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 16:53:28,604] Trial 25 pruned. Duplicate hyper-parameters, same as those used in trial 10: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}.
[I 2026-02-03 17:05:42,971] Trial 26 finished with value: 0.9025229357798165 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 17:18:54,508] Trial 27 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 17:32:06,028] Trial 28 finished with value: 0.9128440366972477 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 17:45:17,748] Trial 29 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 17:58:15,831] Trial 30 finished with value: 0.9185779816513762 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 18:10:52,071] Trial 31 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 18:24:07,031] Trial 32 finished with value: 0.9220183486238532 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 18:37:23,175] Trial 33 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 18:49:39,781] Trial 34 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 19:02:35,225] Trial 35 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 19:14:50,134] Trial 36 finished with value: 0.9002293577981652 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 19:27:07,198] Trial 37 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 19:39:25,995] Trial 38 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 19:52:22,164] Trial 39 finished with value: 0.9185779816513762 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 20:04:57,044] Trial 40 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 20:17:52,777] Trial 41 finished with value: 0.9162844036697247 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 20:34:01,181] Trial 42 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 20:46:37,077] Trial 43 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 20:59:30,359] Trial 44 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 21:12:42,177] Trial 45 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 21:25:38,976] Trial 46 finished with value: 0.9220183486238532 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 21:38:32,111] Trial 47 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 21:51:44,416] Trial 48 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 22:03:57,916] Trial 49 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 22:22:52,730] Trial 50 finished with value: 0.9277522935779816 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 22:35:26,930] Trial 51 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 22:48:19,689] Trial 52 finished with value: 0.9128440366972477 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 23:00:55,334] Trial 53 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 23:14:07,071] Trial 54 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 23:27:18,370] Trial 55 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 23:39:37,167] Trial 56 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-03 23:52:50,631] Trial 57 finished with value: 0.9036697247706422 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 00:05:26,579] Trial 58 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 00:18:24,103] Trial 59 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 00:33:31,507] Trial 60 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 00:45:47,734] Trial 61 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 00:59:00,530] Trial 62 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 01:11:36,824] Trial 63 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 01:23:51,581] Trial 64 finished with value: 0.9036697247706422 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 01:37:03,243] Trial 65 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 01:49:17,933] Trial 66 finished with value: 0.9128440366972477 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 02:01:52,526] Trial 67 finished with value: 0.9105504587155964 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 02:16:57,588] Trial 68 finished with value: 0.8899082568807339 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 02:29:32,085] Trial 69 finished with value: 0.908256880733945 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 02:42:43,410] Trial 70 finished with value: 0.9002293577981652 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 02:55:36,728] Trial 71 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.001, 'label_smoothing': 0.05, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 03:08:48,456] Trial 72 finished with value: 0.8990825688073395 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 03:21:22,645] Trial 73 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 03:34:01,057] Trial 74 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 03:46:59,275] Trial 75 finished with value: 0.9220183486238532 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 04:04:55,790] Trial 76 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 04:17:13,309] Trial 77 finished with value: 0.9048165137614679 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 04:29:27,887] Trial 78 finished with value: 0.9128440366972477 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.0, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 04:42:40,384] Trial 79 finished with value: 0.911697247706422 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 04:55:18,591] Trial 80 finished with value: 0.9013761467889908 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 05:07:56,971] Trial 81 finished with value: 0.9174311926605505 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 05:20:12,479] Trial 82 finished with value: 0.9071100917431193 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 05:32:31,522] Trial 83 finished with value: 0.9094036697247706 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 05:45:46,265] Trial 84 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
[I 2026-02-04 05:58:01,067] Trial 85 finished with value: 0.9059633027522935 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 13 with value: 0.9277522935779816.
slurmstepd: error: *** JOB 2090457 ON kn055 CANCELLED AT 2026-02-04T06:01:30 ***
